num_distr,mouse.time
5,1.1870808
10,1.73861
5,1.820873
5,1.4131529
5,1.2683148
10,1.6322487
10,4.129617
5,1.6784991
10,1.5563581
5,1.589401
5,1.4033598
5,1.7135017
5,3.0065663
10,1.3815243
10,3.2492643
5,1.1217888
5,1.7780259
5,2.695885
10,1.4614845
10,2.5169097
10,2.1155876
10,1.9914256
10,2.2559955
5,1.202744
5,0.9839862
5,0.9502779
10,1.057914
5,1.7898761
10,1.0258705
5,1.2021222
5,1.0724927
10,1.632977
10,1.5369162
10,1.3670936
10,1.1122948
5,1.4833943
10,1.8426837
10,2.709708
5,1.3467739
10,2.2194243
5,1.6374759
5,2.1943669
10,1.7149884
5,1.4913118
10,1.3732126
5,2.1242724
5,1.1600055
10,2.4287452
5,2.8328393
10,0.6515224
5,2.3589615
5,2.1912529
10,1.1965804
10,2.6476478
5,6.0084125
5,1.4548818
5,1.1736582
10,4.6271175
10,1.2102505
5,0.7429955
5,1.0692969
10,0.6677885
10,3.5270314
10,1.3592153
5,1.395877
10,1.2590181
5,0.8309732
5,0.7111848
10,0.8700072
10,0.768174
10,0.9691553
5,1.1494664
5,1.6091082
5,0.7426019
5,1.3042868
5,1.9832323
5,2.053142
5,2.0199412
10,1.0665777
10,1.3641115
5,1.1965954
10,1.367877
10,1.5151524
5,1.1921104
5,1.4638573
5,1.0916254
10,1.1926579
5,1.0721422
10,1.7969975
10,1.1216205
5,0.7969918
10,1.0533084
10,1.6937529
10,1.1016544
5,1.1482501
5,0.8171691
5,0.9587353
10,0.8865346
10,0.9488769
5,1.3663154
10,1.3412086
10,1.3010842
5,1.1581364
5,0.6728309
10,1.7705598
5,1.9977847
10,1.801639
5,1.1098413
5,1.4424703
5,1.0972368
5,1.6261419
10,0.9936049
10,1.5724325
5,1.2017107
5,1.4756331
5,1.5297794
10,0.9696095
10,1.2841979
10,0.8167149
10,1.6020117
10,1.1431027
5,1.2655582
5,1.3919603
10,1.359747
5,1.0836488
10,1.1975981
10,2.4981388
5,0.9646722
10,0.8593354
10,1.2693907
10,0.7867063
10,1.4502601
5,0.8699065
10,0.9722231
10,2.1831985
10,1.2443013
5,1.2915911
5,1.2947932
10,1.9574716
5,1.3224161
10,2.2553823
5,1.2056376
10,1.9789767
5,1.2637948
10,1.0738652
10,4.2030882
5,1.2476258
10,1.4420849
10,2.0087487
10,0.7895272
10,1.3792433
5,1.1282921
5,1.3260768
10,1.6054899
5,1.6435006
5,1.5771499
5,1.1679362
10,1.3256118
5,1.2894614
10,2.273133
10,1.0897985
10,2.7353024
5,2.1625683
5,1.5264657
5,1.2708814
10,1.5441836
5,1.3443254
10,1.9079279
10,1.3681733
10,1.1172612
10,1.5029626
10,1.6418635
10,0.6943008
10,1.0459856
5,0.8270919
5,0.9043041
10,1.2667259
5,0.7590529
5,0.96021
5,1.1264934
5,1.1788069
10,2.0539771
10,1.2624106
5,1.1362261
5,1.2976574
5,1.0672498
10,1.1801337
5,0.8979755
5,0.8000164
5,2.094247
10,0.6797225
10,0.6271762
10,1.5831449
5,0.6244175
5,0.9806097
5,1.0236092
10,2.3064172
5,1.1910323
5,1.213722
10,1.5347303
5,1.7190303
5,1.0200437
10,1.6016432
5,0.7607542
10,1.0305948
5,0.7403497
10,1.1545149
10,0.985443
10,0.6073697
5,0.7644132
5,1.1272008
5,0.9983662
10,1.2357749
10,2.0068895
5,1.1196262
5,0.9240444
10,1.0964622
10,1.4274857
10,1.1056323
5,1.0475641
10,1.7440876
5,1.3499911
5,1.6920361
10,1.1430099
10,1.3196415
5,1.5652716
5,1.276272
5,1.2309125
5,0.9922381
10,1.1698147
5,1.232254
5,1.2131182
5,1.128961
10,0.8376113
10,0.9230798
5,0.9272545
10,2.346961
5,1.2431483
10,2.1664188
5,1.3251396
5,1.2948181
5,1.1931517
10,1.3558145
10,1.5181478
10,1.3248514
5,0.8670307
10,3.2122531
5,1.2239538
10,2.1226511
10,2.7715022
5,2.0338371
5,1.9578923
5,2.3779307
10,3.0575102
5,2.7984908
10,2.12742
5,1.6834944
10,2.0277085
10,1.8518829
5,8.6609101
10,1.5990297
5,1.5322992
10,2.7034818
10,1.6815274
10,2.4210853
5,2.5976792
5,3.1595526
5,2.5115868
10,2.5695081
5,2.3972926
10,1.5299674
5,1.4275789
10,2.9033385
5,0.9813698
5,2.4074401
10,1.7065487
5,2.3651711
10,2.3476217
10,2.0321779
5,3.0718304
5,1.5114115
5,1.7963749
10,1.6863448
5,1.1149919
5,1.759201
5,0.8453013
10,1.9018698
5,1.9408935
10,2.5470576
10,2.1360991
5,1.4142519
10,2.9147819
10,2.2171135
5,1.629531
10,1.1256854
5,1.4830453
10,1.6074612
5,2.2708425
10,1.3125627
5,1.4259707
10,2.384452
10,4.3408663
5,2.5982063
10,2.6525736
10,1.5703591
10,2.2651214
10,1.7146672
10,2.8142112
10,3.1567528
10,2.2252934
10,3.1678832
10,2.3003534
5,2.2156069
5,1.8452416
10,2.6944575
5,1.5615159
10,1.8000937
5,0.4167703
5,2.5046724
10,2.2220327
10,3.7591137
5,1.0674758
10,2.6593468
10,1.2641324
5,1.4034204
10,0.4845132
10,1.2209204
5,2.1860036
5,2.8068688
5,2.3042727
5,2.3920945
10,2.4197287
10,5.6408842
10,1.7468263
10,2.3531894
5,1.7955756
5,1.7266667
5,2.7774674
5,1.4938123
10,1.5760654
5,1.4368095
5,1.9446531
10,1.9122167
10,2.018961
5,2.6264729
10,1.9238648
5,1.505191
5,1.7085568
10,1.256991
10,3.791912
5,2.2788416
10,2.620546
10,1.9290288
5,1.3329698
5,2.1118767
5,2.5815817
5,2.0801761
10,1.6186618
10,1.9893214
5,2.2809233
10,1.9868081
10,3.1582848
10,2.0711959
10,1.7188977
5,2.0584339
5,1.7378896
5,2.8553977
5,2.0613035
5,2.9750988
5,1.2908442
10,3.1758409
5,1.1243059
10,2.9263945
10,1.7759644
10,1.4574005
5,1.21469
5,1.7647421
5,2.120211
5,1.4283667
10,2.4755853
5,1.5293307
5,2.6812199
10,2.3497928
10,1.5788844
10,3.1857435
10,2.6318176
5,2.3545976
10,1.9184653
10,1.8482221
10,2.251377
5,1.7618776
5,1.7865958
10,1.3859995
5,1.5732471
5,1.4962537
5,1.2330834
10,2.0070411
5,1.636293
5,1.9214109
10,1.1325624
5,0.4136309
5,1.1331234
10,1.7470954
10,3.5061197
10,1.1827277
5,2.4645725
5,1.6283699
10,1.763853
10,1.7240294
5,1.6389506
5,2.1987049
10,2.8028935
10,2.2437761
5,1.6310275
5,1.8082884
10,1.8921567
10,2.1956751
5,1.6777608
5,1.2968671
10,2.5179533
10,2.4026828
10,2.2628674
5,3.3715216
10,1.4328226
10,2.4243701
10,2.3799321
10,1.5054724
5,1.812672
10,2.1973835
10,2.3563
5,1.913703
5,1.916626
5,1.8918669
5,0.8843488
5,2.6236754
5,1.6811029
5,1.8298922
10,2.4986049
5,2.7117619
5,1.9780562
5,2.3425598
5,3.0578091
10,1.8477478
10,5.8952942
5,1.8682556
5,2.0506816
5,2.6422747
10,2.566864
